t,KRT17,EMP1,S100A2,KRT16,t_grid,KRT17_pinn,EMP1_pinn,S100A2_pinn,KRT16_pinn
0.4536807,2.1717448,0.0,1.5595092,1.7359684,,,,,
0.46029252,1.7597734,1.7597734,2.5031478,1.7597734,,,,,
0.45765552,0.0,0.0,0.0,0.0,,,,,
0.51065135,2.7300355,0.0,2.8262901,1.8628979,,,,,
0.53313786,2.5010529,1.5921475,2.5288854,1.5921475,,,,,
0.80110544,2.3079143,1.9831724,1.5861303,2.180241,,,,,
0.50134015,1.7452056,1.7452056,2.4150152,0.0,,,,,
0.46802458,0.0,0.0,0.0,0.0,,,,,
0.5695216,2.808973,2.1238933,1.6489787,2.5704205,,,,,
0.13666497,0.0,0.0,0.0,0.0,,,,,
0.17210925,2.1296802,0.0,1.8486868,1.1240668,,,,,
0.3981962,0.0,0.0,0.0,0.0,,,,,
0.47659126,0.0,0.0,0.0,0.0,,,,,
0.41672897,0.0,0.0,0.0,0.0,,,,,
0.36639908,0.80196035,1.1210644,0.38924807,1.0356451,,,,,
0.3932735,0.0,1.3245889,0.0,0.0,,,,,
0.3911493,0.0,0.0,0.0,0.0,,,,,
0.38909486,0.0,0.4338743,0.4338743,0.4338743,,,,,
0.37048674,0.0,0.39515257,0.6370294,0.0,,,,,
0.45003513,0.0,1.0954869,1.0954869,0.0,,,,,
0.48223677,0.0,0.0,0.0,1.4605691,,,,,
0.38782796,0.0,0.0,0.0,0.0,,,,,
1.0,2.9111493,3.3054607,3.3708494,2.62978,,,,,
0.457776,1.4506029,1.1245065,0.0,0.0,,,,,
0.49671438,1.0160999,0.0,0.0,0.0,,,,,
0.5198597,0.4255996,0.919729,1.4372734,0.5647119,,,,,
0.8625982,0.0,0.0,0.0,0.0,,,,,
0.4033356,0.0,1.6081843,0.0,0.0,,,,,
0.65510964,1.6330197,0.0,0.81135327,1.4335085,,,,,
0.38722903,0.0,1.3223314,0.0,0.0,,,,,
0.38154057,0.0,0.0,0.0,0.0,,,,,
0.38382053,0.0,0.0,0.0,0.0,,,,,
0.47593588,0.80775833,0.0,0.80775833,0.0,,,,,
0.41302618,0.0,0.9285366,0.9285366,0.0,,,,,
0.37726954,0.0,0.0,0.0,0.0,,,,,
0.4136467,0.0,0.0,0.0,0.0,,,,,
0.88853604,0.0,0.0,0.0,0.0,,,,,
0.74574095,0.0,0.0,0.0,0.0,,,,,
0.448343,0.6040823,0.0,0.0,0.0,,,,,
0.4711969,0.0,0.0,0.0,0.0,,,,,
0.7938269,1.3016381,0.0,0.0,0.0,,,,,
0.5222916,0.15790002,0.7550379,0.56543344,0.0,,,,,
0.18688138,0.0,0.0,0.0,0.0,,,,,
0.36876804,0.0,0.0,0.0,0.0,,,,,
0.3888614,0.0,0.0,0.0,0.0,,,,,
0.39688963,0.0,0.0,0.0,0.0,,,,,
0.46475732,0.0,0.0,0.0,0.0,,,,,
0.8320704,0.0,1.4315012,0.0,0.6748655,,,,,
0.43691635,0.0,0.0,0.0,0.0,,,,,
0.4574063,0.9096375,1.4932563,0.31620777,0.0,,,,,
0.38951164,0.0,0.6342426,0.94079065,0.0,,,,,
0.39274478,0.0,0.0,0.0,0.0,,,,,
0.4438606,0.0,0.0,0.0,0.0,,,,,
0.53824514,0.44266835,0.44266835,0.44266835,0.87453765,,,,,
0.3653238,1.5893116,0.0,0.73591894,0.9824072,,,,,
0.46020237,0.0,0.0,3.189084,0.0,,,,,
0.42465863,0.0,0.0,0.0,0.0,,,,,
0.3868588,0.0,1.0008926,0.5364447,0.0,,,,,
0.41499072,1.206626,0.0,0.0,0.0,,,,,
0.4627624,0.0,0.0,0.0,0.0,,,,,
0.4546153,0.0,0.0,0.0,0.0,,,,,
0.40581283,0.0,0.7021024,0.4913227,0.0,,,,,
0.7184656,0.0,2.0780773,0.0,0.0,,,,,
0.3864619,0.0,0.0,0.0,0.0,,,,,
0.44849837,0.0,0.0,0.5689515,0.0,,,,,
0.3754225,0.0,0.0,0.0,3.1462843,,,,,
0.3759633,0.0,0.0,0.0,0.0,,,,,
0.47467145,0.0,1.2512026,0.72737306,0.72737306,,,,,
0.37976876,0.0,0.0,0.0,0.0,,,,,
0.11262699,0.0,0.0,0.7668887,0.0,,,,,
0.38012967,0.0,0.0,0.0,0.0,,,,,
0.37743214,0.0,0.0,0.0,0.0,,,,,
0.37235826,0.0,0.0,0.0,0.0,,,,,
0.37366062,0.0,2.8110487,0.0,0.0,,,,,
0.37859932,0.0,0.0,0.0,0.0,,,,,
0.45733172,0.0,0.7234626,0.0,0.0,,,,,
0.3661671,1.3595209,0.7395514,1.1784956,0.3516889,,,,,
0.35786295,0.0,0.0,0.6879789,0.20628452,,,,,
0.36568886,1.0014551,0.47333458,0.623851,1.0652798,,,,,
0.3798642,0.0,0.89769065,0.0,0.0,,,,,
0.39060912,0.0,0.0,0.0,0.0,,,,,
0.52498376,0.78908896,1.1032138,0.38283378,0.0,,,,,
0.36663976,0.38208655,1.1047403,1.5303429,0.0,,,,,
0.48402798,0.0,0.89462733,0.0,0.0,,,,,
0.4024232,0.0,0.7211973,0.22490889,0.0,,,,,
0.48667488,0.0,0.0,1.2203869,0.0,,,,,
0.5194936,0.56639147,0.56639147,0.56639147,0.56639147,,,,,
0.09099961,0.0,0.0,0.44426876,0.0,,,,,
0.3926786,0.0,0.0,0.0,0.0,,,,,
0.3734947,0.0,0.5284933,0.5284933,0.0,,,,,
0.49242234,1.4439504,1.9025998,1.1152158,0.0,,,,,
0.4164742,1.2770659,0.5300606,1.1642936,1.3685585,,,,,
0.39420038,0.0,0.0,0.0,0.0,,,,,
0.45380297,0.44601145,1.5232468,0.88518846,0.0,,,,,
